Pcard Transactions Acceptor Name,Pcard Transactions Cc Acceptor Country,Pcard Transactions Credit (Yes / No),Pcard Transactions Declined (Yes / No),Pcard Transactions Processing Type,Pcard Transactions Transaction Risk Score,Pcard Transactions Card Presence,Pcard Transactions Cardholder Presence,Pcard Transactions Fraud (Yes / No)
TACO TIME WEST SEATTLE,US,No,No,MAGSTRIPE,22,1,1,No
CMSVENDABS VENDING,US,No,No,MAGSTRIPE,7,1,1,No
FXCFRAGRANCEX.COM,US,No,No,MANUAL,16,0,0,No
ABEBOOKS.CO FSFYAM,US,No,No,MANUAL,2,0,0,No
BJS WHOLESALE CLUB,US,No,No,CARD_ON_FILE,7,0,0,No
SAMS CLUB,US,No,No,CHIP,28,1,1,No
SPORTSMAN'S MOTENG,US,No,No,MANUAL,15,0,0,No
WWW.SCHEELS.COM,US,No,No,MANUAL,2,0,0,No
WWW.WHOLESHABANG.COM,US,No,No,MANUAL,23,0,0,No
Amazon.comPSKH,US,No,No,MANUAL,1,0,0,No
LOWES,US,No,No,MANUAL,3,0,0,No
Amazon.comRG,US,No,No,MANUAL,1,0,0,No
AMAZON.COMCXJI AMZN,US,No,No,MANUAL,2,0,0,No
SPRI.NG,US,No,No,MANUAL,30,0,0,No
RAISE.COM,US,No,No,MANUAL,31,0,0,No
WALGREENS.COM,US,No,No,MANUAL,4,0,0,No
CAFE RIO MARYLAND PKWY,US,No,No,MAGSTRIPE,30,1,1,No
MENARDS MICHIGAN CITY IN,US,No,No,CARD_ON_FILE,4,0,0,No
AMZN Mktp USMFVG,US,No,No,MANUAL,3,0,0,No
BIOSSANCE,US,No,No,MANUAL,19,0,0,No
AMZN Mktp USMUL,US,No,No,MANUAL,17,0,0,No
NORDSTROM DIRECT,US,No,No,MANUAL,5,0,0,No
CASH WA STORES,US,No,No,CHIP,26,1,1,No
STAPLS,US,No,No,MANUAL,20,0,0,No
GOLFWORKS,US,No,No,CARD_ON_FILE,5,0,0,No
THE WEBSTAURANT STORE,US,No,No,MANUAL,12,0,0,No
AMAZON.COMBTUUW AMZN,US,No,No,MANUAL,3,0,0,No
ADIDAS US ONLINE STORE,US,Yes,No,,,,,No
AMAZON.COMYMH AMZN,US,No,No,MANUAL,8,0,0,No
SELECT NUTRITION UNFI,US,No,No,MANUAL,25,0,0,No
KATOMRESTAU,US,No,No,MANUAL,23,0,0,No
BOSCOVS  ECOM,US,Yes,No,,,,,No
TJ,US,No,No,MANUAL,13,0,0,No
BATH AND BODY WORKS,US,No,No,CHIP,11,1,1,No
SOLUTIONS PEST & LAWN,US,No,No,MANUAL,4,0,0,No
SEPHORA.COM,US,No,No,CARD_ON_FILE,4,0,0,No
AMZN Mktp USMNO,US,No,No,MANUAL,1,0,0,No
WAL-MART,US,No,No,MANUAL,60,0,0,No
WEGMANS,US,No,No,CHIP,7,1,1,No
COSTCO WHSE,US,No,No,CHIP,5,1,1,No
RITE AID ONLINE STORE,US,No,No,MANUAL,4,0,0,No
OPTIMUM,US,No,No,MANUAL,9,0,0,No
SHELL OIL,US,No,No,CHIP,21,1,1,No
VPCCOMPUTER EBAY,US,No,No,MANUAL,8,0,0,No
-ELEVEN,US,No,No,CHIP,15,0,0,No
POPEYES,US,No,No,CHIP,7,1,1,No
EBAY INC,US,No,No,MANUAL,7,0,0,No
ZORO TOOLS INC,US,No,No,MANUAL,12,0,0,No
WAL-MART,US,No,No,UNKNOWN,19,0,0,No
WAL-MART,US,No,No,MAGSTRIPE,30,1,1,No
DOMINO'S,US,No,No,MANUAL,3,0,0,No
WAL-MART,US,No,No,,,,,No
AMZN Mktp USJTBQK,US,No,No,MANUAL,5,0,0,No
Dick'sSportingGoods.com,US,No,No,CARD_ON_FILE,3,0,0,No
FUNKY DOOR YOGA,US,No,No,MANUAL,12,1,0,No
ROSEVILLE GROCERY O,US,No,No,CHIP,17,1,1,No
DONNATRACAN,US,No,No,UNKNOWN,8,0,0,No
BED BATH & BEYOND,US,No,No,MANUAL,11,0,0,No
STAPLES DIRECT,US,No,No,MANUAL,12,0,0,No
RICHLAND CNTY RECREATION,US,No,No,MANUAL,6,0,0,No
FLEET FARM ECOM,US,No,No,MANUAL,18,0,0,No
WM SUPERCENTER,US,No,No,CHIP,11,1,1,No
The Webstaurant Store Inc,US,No,No,CARD_ON_FILE,6,0,0,No
WWW.ALIBABA.COM,GB,No,No,UNKNOWN,33,0,0,No
GW  NORTHPORT,US,No,No,CHIP,12,1,1,No
SHOPRITE PARAMUS S,US,No,No,CHIP,29,1,1,No
WWW COSTCO COM,US,No,No,MANUAL,7,0,0,No
UBER TRIP HELP.UBER.COM,MX,No,No,UNKNOWN,6,0,0,No
APPLE.COM/BILL,US,No,No,UNKNOWN,1,0,0,No
SP  SASCHA FITNESS,US,No,No,MANUAL,17,0,0,No
INTEX RECREATION CORP,US,No,No,MANUAL,9,0,0,No
BALTI JAAMA TURG,EE,No,No,CHIP,18,1,1,No
ANTHONYS WINE & LIQUOR,US,No,No,CHIP,24,1,1,No
YYBA CORP,US,No,No,CARD_ON_FILE,17,0,0,No
TARGET.COM,US,No,No,MANUAL,30,0,0,No
Amazon.comKJM,US,No,No,MANUAL,1,0,0,No
GLAMAIRINC EBAY G,US,No,No,UNKNOWN,6,0,0,No
SHOES.COM,US,No,No,UNKNOWN,29,0,0,No
FESTIVAL FOODS,US,No,No,CHIP,2,1,1,No
COSTCO ONLINE RX,US,No,No,MANUAL,10,0,0,No
EXCELLENTST,US,No,No,MANUAL,1,0,0,No
RALPHS,US,No,No,CHIP,25,1,1,No
KWIK TRIP,US,No,No,MAGSTRIPE,22,1,1,No
OVRO.CO/OVERSTOCK.COM,US,Yes,No,,,,,No
Amazon.comNLSBIO,US,No,No,MANUAL,3,0,0,No
WANGCW EBAY W,US,No,No,MANUAL,9,0,0,No
MANNSTUFF EBAY,US,No,No,MANUAL,7,0,0,No
WWW.SCHEELS.COM,US,No,No,CARD_ON_FILE,3,0,0,No
OFFICECRAVE,US,No,No,MANUAL,16,0,0,No
PPAPPLE.COM/BILL,US,No,No,CARD_ON_FILE,2,0,0,No
LOWES,US,No,No,CHIP,2,1,1,No
BJS WHOLESALE CLUB,US,No,No,CARD_ON_FILE,21,0,0,No
ZEVO,US,No,No,MANUAL,5,0,0,No
AMZN MKTP USVHADGE AM,US,No,No,MANUAL,4,0,0,No
BEAUTYITISI,US,No,No,MANUAL,5,0,0,No
Amazon.comMVRI,US,No,No,MANUAL,9,0,0,No
WAL-MART,US,No,No,UNKNOWN,6,0,0,No
CVS/PHARMACY,US,No,No,CHIP,15,1,1,No
KYLEAFISHER,US,Yes,No,,,,,No
STAPLES DIRECT,US,No,No,MANUAL,10,0,0,No
AMAZON.COMGZXPLI AMZN,US,No,No,MANUAL,21,0,0,No
PETCO COM,US,No,No,MANUAL,3,0,0,No
OFFICEMAX/OFFICEDEPT,US,No,No,UNKNOWN,10,0,0,No
VCIVITACOST.COM,US,No,No,MANUAL,26,0,0,No
SQ KOMA PRODUCTS,US,No,No,MANUAL,17,0,0,No
AMZN MKTP US AMZN.COM/BIL,US,Yes,No,,,,,No
WM SUPERCENTER,US,No,No,CHIP,3,1,1,No
WILLYS ROSWELL RD,US,No,No,CHIP,2,1,1,No
WWW.WHOLESHABANG.COM,US,No,No,MANUAL,5,0,0,No
AMAZON.COMTMBN AMZN,US,No,No,MANUAL,4,0,0,No
SUPERIOR AUTO EXTRAS,US,No,No,MANUAL,7,0,0,No
POSTAGE GOSHIPPO.COM,US,No,No,CARD_ON_FILE,1,0,0,No
AMAZON.COMMUDUTJ AMZN,US,No,No,MANUAL,12,0,0,No
Prime VideoMKQDT,US,No,No,MANUAL,10,0,0,No
MARYSVILLE MARINE DISTRI,US,No,No,MANUAL,1,0,0,No
"BEAUTY ENTERPRISES, INC.",US,No,No,MANUAL,1,0,0,No
WORLDPAC,US,No,No,MANUAL,8,0,0,No
WAL-MART,US,No,No,CARD_ON_FILE,13,0,0,No
SHOES.COM,US,No,No,UNKNOWN,32,0,0,No
BSIGN INC,US,No,No,MANUAL,21,0,0,No
HOME DEPOT,US,No,No,UNKNOWN,2,0,0,No
NORDSTROM DIRECT,US,No,No,MANUAL,22,0,0,No
Target,US,No,No,MANUAL,28,0,0,No
WAL-MART,US,No,No,UNKNOWN,18,0,0,No
"SP  SIMPLEHUMAN, LLC",US,No,No,MANUAL,27,0,0,No
LOTUS LIGHT,US,No,No,MANUAL,12,1,0,No
RITE AID STORE -,US,No,No,CHIP,19,1,1,No
SQ LUXOR VAPORS IN,US,No,No,CHIP,16,1,1,No
AMAZON.COMATA AMZN,US,No,No,MANUAL,2,0,0,No
EBAY US,US,No,No,CARD_ON_FILE,2,0,0,No
WWW.KOHLS.COM,US,No,No,MANUAL,17,0,0,No
AMZN Mktp USMASKX,US,No,No,MANUAL,2,0,0,No
Amazon.comMKJO,US,No,No,MANUAL,7,0,0,No
TRACTOR SUPPLY CO,US,No,No,MANUAL,31,0,0,No
Amazon PrimeKKU,US,No,No,MANUAL,8,0,0,No
ADS,US,No,No,MANUAL,2,0,0,No
LUIS PORTERO,ES,No,No,CHIP,20,1,1,No
USPS,US,No,No,CARD_ON_FILE,2,0,0,No
USPS,US,No,No,MANUAL,1,0,0,No
WM SUPERCENTER,US,No,No,CHIP,26,1,1,No
ISLAND MERCANTILE,US,No,No,MAGSTRIPE,27,1,1,No
LULU'S RESTAURANT,US,No,No,MAGSTRIPE,4,1,1,No
MAILCHIMP   MONTHLY,US,No,No,CARD_ON_FILE,5,0,0,No
AMZN Mktp UKRI,GB,No,No,MANUAL,13,0,0,No
SPEEDY MART,US,No,No,MAGSTRIPE,15,1,1,No
THE HOME DEPOT,US,No,No,MANUAL,4,0,0,No
PPALIBRIS,US,No,No,MANUAL,4,0,0,No
SQ TANNER'S COFFEE PDR,US,No,No,CHIP,10,1,1,No
WINDSHIP TRADING LLC,US,No,No,MANUAL,9,0,0,No
BPKINGS CONEY BP,US,No,No,MAGSTRIPE,27,1,1,No
Prime VideoMQLJ,US,No,No,MANUAL,7,0,0,No
KROGER,US,No,No,CHIP,5,1,1,No
Dick'sSportingGoods.com,US,No,No,CARD_ON_FILE,17,0,0,No
JACK IN THE BOX,US,No,No,CHIP,25,1,1,No
SQ DIMASSI?S WEBSTER,US,No,No,CHIP,2,1,1,No
SIMPLEMOBILEAIRTIME,US,Yes,No,,,,,No
Zija Intl.,US,No,No,MANUAL,10,0,0,No
WM SUPERCENTER,US,No,No,MANUAL,25,0,0,No
ZORO TOOLS INC,US,No,No,MANUAL,27,0,0,No
VCIVITACOST.COM,US,No,No,MANUAL,8,0,0,No
WAL-MART,US,No,No,MANUAL,8,0,0,No
THE WHEEL GROUP WHEEL,US,No,No,MANUAL,2,0,0,No
HALFORDS ON LINE,GB,Yes,No,,,,,No
OFFICE DEPOT,US,No,No,UNKNOWN,11,0,0,No
AUTOZONE,US,No,No,CHIP,26,1,1,No
SLI-FANDUEL/BETFAIR PLAY+,US,No,No,MANUAL,9,0,0,No
PUBLIX,US,No,No,CHIP,8,0,0,No
STAMPS.COM  USPOSTAGE,US,No,No,MANUAL,5,0,0,No
WM SUPERCENTER,US,No,No,CHIP,21,1,1,No
WAL-MART,US,No,No,CHIP,10,1,1,No
UNIQUE LOO UNIQUE LOO,US,No,No,MANUAL,1,0,0,No
ZORO TOOLS INC,US,No,No,MANUAL,23,0,0,No
QUILL CORPORATION,US,Yes,No,,,,,No
T-MOBILE STORE,US,No,No,MAGSTRIPE,31,1,1,No
AudibleKIVGLX,US,No,No,MANUAL,1,0,0,No
aliexpress,US,No,No,MANUAL,5,0,0,No
RAINBOW,US,No,No,CHIP,16,1,1,No
AREYOUFEELI,US,No,No,MANUAL,22,0,0,No
ROSS STORES,US,No,No,CHIP,11,1,1,No
SAMSCLUB.COM,US,No,No,MANUAL,1,0,0,No
HYATT PLACE ATHENS,US,No,No,MANUAL,16,1,1,No
SEPHORA.COM,US,No,No,CARD_ON_FILE,3,0,0,No
AMZN Mktp USDRHYR,US,No,No,MANUAL,4,0,0,No
UGLYNBEAUTY,US,No,No,MANUAL,7,0,0,No
AMWAMWAY ORDER,US,No,No,MANUAL,17,0,0,No
DESCARTES SYSTEMS USA LLC,US,No,No,MANUAL,1,0,0,No
AMZN Mktp USEVXIM,US,No,No,MANUAL,5,0,0,No
BEAUTY BAY LTD,GB,No,No,MANUAL,36,0,0,No
NATIVE PATH,US,Yes,No,,,,,No
FOODLESS,US,No,No,CHIP,13,1,1,No
RI NOVELTY/TOY NETWORK,US,No,No,MANUAL,5,0,0,No
ITWORKSMARK,US,No,No,CARD_ON_FILE,4,0,0,No
LOWES,US,No,No,MANUAL,21,0,0,No
VCIVITACOST.COM,US,No,No,MANUAL,16,0,0,No
SIERRA WEB-INTERNET,US,No,No,MANUAL,23,0,0,No
COSTCO WHSE,US,No,No,CHIP,1,1,1,No
OCEAN STATE JOB LOT,US,No,No,CHIP,1,1,1,No
MARSHALLS,US,No,No,CHIP,13,1,1,No
IZZYB,US,No,No,MANUAL,18,0,0,No
BEAUTYENCOU,US,No,No,MANUAL,30,0,0,No
eBay O--,US,No,No,CARD_ON_FILE,5,0,0,No
CITY OF LONG BRANCH,US,No,No,MAGSTRIPE,16,1,1,No
POSTAGE GOSHIPPO.COM,US,No,No,CARD_ON_FILE,4,0,0,No
WWW COSTCO COM,US,No,No,MANUAL,6,0,0,No
GIRLCO CORP,US,No,No,UNKNOWN,8,0,0,No
-ELEVEN,US,No,No,CHIP,14,1,1,No
WALGREENS,US,No,No,CHIP,19,1,1,No
GCOATES EBAY GC,US,No,No,UNKNOWN,20,0,0,No
HALF PRICE BOOKS,US,No,No,CHIP,7,1,1,No
HOMEDEPOT.COM,US,No,No,MANUAL,26,0,0,No
Amazon.comXDZPV,US,No,No,MANUAL,4,0,0,No
AMZN Mktp USSO,US,No,No,MANUAL,2,0,0,No
DOLLAR TREE,US,No,No,CHIP,5,1,1,No
WAL-MART,US,No,No,CHIP,19,1,1,No
TARGET.COM,US,No,No,MANUAL,6,0,0,No
AMZN Mktp USILKRO,US,No,No,MANUAL,6,0,0,No
SHIPPINGEASY.COM,US,No,No,CARD_ON_FILE,11,0,0,No
BED BATH & BEYOND,US,No,No,MANUAL,14,0,0,No
WWW.PETSMART.COM,US,No,No,MANUAL,13,0,0,No
LOWES,US,No,No,MANUAL,14,0,0,No
BIGCOMMERCE,US,No,No,CARD_ON_FILE,8,0,0,No
MERCHMIXER SHOPIFY APP,US,No,No,MANUAL,11,0,0,No
CHEWY.COM,US,No,No,MANUAL,2,0,0,No
NAZ'S HALAL FOOD,US,No,No,CHIP,10,1,1,No
BED BATH & BEYOND,US,No,No,MANUAL,5,0,0,No
"SPOONFLOWER, INC.",US,No,No,MANUAL,7,0,0,No
TARGET.COM,US,No,No,MANUAL,26,0,0,No
VCIVITACOST.COM,US,No,No,MANUAL,20,0,0,No
MENARDS PLAINFIELD IL,US,No,No,MANUAL,32,0,0,No
THE HOME DEPOT,US,No,No,MANUAL,16,0,0,No
SEPHORA.COM,US,No,No,UNKNOWN,5,0,0,No
AMZN Mktp USESGY,US,No,No,MANUAL,10,0,0,No
SADIAMIRZA EBAY,US,Yes,No,,,,,No
WAL-MART,US,No,No,UNKNOWN,22,0,0,No
EMPORIUM COMPLEX,US,No,No,MAGSTRIPE,30,1,1,No
WAL-MART,US,No,No,UNKNOWN,31,0,0,No
GOODWILL ST LOUIS MILLS,US,No,No,CHIP,5,1,1,No
WAWA,US,No,No,MAGSTRIPE,21,1,1,No
TRACTOR SUPPLY,US,No,No,MAGSTRIPE,31,1,1,No
OVRO.CO/OVERSTOCK.COM,US,No,No,MANUAL,25,0,0,No
PETCO,US,No,No,CHIP,8,1,1,No
AMZN Mktp USMFQL,US,No,No,MANUAL,1,0,0,No
RAISE.COM,US,No,No,UNKNOWN,16,0,0,No
MACYS   .COM,US,No,No,CARD_ON_FILE,22,0,0,No
SSM,US,No,No,CARD_ON_FILE,12,0,0,No
BEN THANH FOOD MARKET,US,No,No,CHIP,4,1,1,No
CPC SCP/D,CA,No,No,UNKNOWN,7,0,0,No
RAISE.COM,US,No,No,UNKNOWN,21,0,0,No
TARGET.COM,US,No,No,CARD_ON_FILE,8,0,0,No
FXCFRAGRANCEX.COM,US,No,No,MANUAL,24,0,0,No
USPS,US,No,No,CARD_ON_FILE,12,0,0,No
AMZN Mktp USNMTYW,US,No,No,MANUAL,1,0,0,No
READYREFRESH BY NESTLE,US,No,No,CARD_ON_FILE,12,0,0,No
CAM INTERNATIONAL MARKET,US,No,No,CHIP,2,1,1,No
WWW COSTCO COM,US,No,No,MANUAL,14,0,0,No
SQ CAFE DE ORO,US,No,No,CHIP,27,1,1,No
ROSS STORES,US,No,No,CHIP,28,1,1,No
E AND S BBQ AND FRESH POU,US,No,No,CHIP,24,1,1,No
DANIELLE'S WOOD-FIRED PIZ,US,No,No,MAGSTRIPE,7,1,1,No
PLAYSTATION DIRECT,US,No,No,CARD_ON_FILE,2,0,0,No
ZAPZAPPOS.COM,US,No,No,MANUAL,4,0,0,No
SHOES.COM,US,No,No,UNKNOWN,12,0,0,No
LOWES,US,No,No,MANUAL,24,0,0,No
BRODARD RESTAURANT AND BA,US,No,No,CHIP,29,1,1,No
Amazon.comMUTYN,US,No,No,MANUAL,9,0,0,No
PETRA INDUSTRIES INC,US,No,No,MANUAL,8,0,0,No
SQ BEAUTY,US,No,No,CHIP,22,1,1,No
LIFES TREASURES,US,No,No,CHIP,21,1,1,No
AMAZON.COMMRHB AMZN,US,No,No,MANUAL,2,0,0,No
KROGER,US,No,No,CHIP,16,1,1,No
SALLYBEAUTY,US,No,No,CARD_ON_FILE,4,0,0,No
HSNHSN,US,No,No,MANUAL,18,0,0,No
BOXYCHARM MONTHLY BOX,US,No,No,MANUAL,21,0,0,No
TARGET.COM,US,No,No,MANUAL,9,0,0,No
DD'S DISCOUNTS,US,No,No,CHIP,6,1,1,No
APPLE.COM/BILL,US,No,No,CARD_ON_FILE,23,0,0,No
PETRA INDUSTRIES INC,US,No,No,MANUAL,3,0,0,No
SAMSCLUB.COM,US,No,No,MANUAL,20,0,0,No
SENDLE,US,No,No,CARD_ON_FILE,19,0,0,No
WM SUPERCENTER,US,No,No,CHIP,24,1,1,No
BED BATH & BEYOND,US,No,No,MANUAL,15,0,0,No
RITE AID ONLINE STORE,US,No,No,MANUAL,7,0,0,No
WAL-MART,US,No,No,MANUAL,68,0,0,No
APPLE.COM/BILL,US,Yes,No,,,,,No
COMCAST,US,No,No,MANUAL,3,0,0,No
AMZN Mktp USFVZBPS,US,No,No,MANUAL,1,0,0,No
DOORDASH DASHPASS,US,No,No,CARD_ON_FILE,3,0,0,No
COSTCO ONLINE RX,US,No,No,MANUAL,11,0,0,No
DESCO PRINTING INC,US,No,No,MANUAL,2,0,0,No
SWEETINDULGEST,US,No,No,CHIP,14,1,1,No
LOUISVILLE ARC THRIFT,US,No,No,CHIP,11,1,1,No
XOJULES EBAY XOJ,US,Yes,No,,,,,No
AMZN Mktp USRWA,US,No,No,MANUAL,10,0,0,No
LELAND'S LURES,US,No,No,MANUAL,6,0,0,No
TJ MAXX,US,No,No,CHIP,28,1,1,No
TCGPLAYER.COM,US,No,No,CARD_ON_FILE,1,0,0,No
HOME DEPOT,US,No,No,CARD_ON_FILE,16,0,0,No
Amazon.comMKTKUA,US,No,No,MANUAL,4,0,0,No
AMZN Mktp USMNSLU,US,No,No,MANUAL,4,0,0,No
ZORO TOOLS INC,US,No,No,MANUAL,21,0,0,No
WALGREENS,US,No,No,CHIP,29,1,1,No
AMZN Mktp USMCBSUS,US,No,No,MANUAL,2,0,0,No
THE ABBILLER COMPANY,US,No,No,MANUAL,3,0,0,No
AMZN Mktp USMIKM,US,No,No,MANUAL,4,0,0,No
MARES SSI HEAD WATERSPORT,US,No,No,MANUAL,2,0,0,No
VIA TRADING CORPORATION,US,No,No,MANUAL,11,0,0,No
AMAZON.COMGTPH AMZN,US,No,No,MANUAL,15,0,0,No
USPS,US,No,No,MANUAL,25,0,0,No
SHOES.COM,US,No,No,UNKNOWN,14,0,0,No
AMZN Mktp USXUJW,US,No,No,MANUAL,3,0,0,No
WM SUPERCENTER,US,No,No,CHIP,2,1,1,No
LTD COMMODITIES,US,No,No,CARD_ON_FILE,8,0,0,No
LOREAL URBANDECAYCOSM,US,No,No,UNKNOWN,18,0,0,No
Amazon.comSZ,US,No,No,MANUAL,2,0,0,No
WM SUPERCENTER,US,No,No,CHIP,4,1,1,No
OSH KOSH,US,No,No,CHIP,11,1,1,No
COX PHOENIX COMM SERV,US,No,No,MANUAL,18,0,0,No
PIRATE SHIP  POSTAGE,US,No,No,MANUAL,12,0,0,No
UPSZEJEARI,US,No,No,CARD_ON_FILE,2,0,0,No
FLEET FARM ECOM,US,No,No,MANUAL,11,0,0,No
FAMILY DOLLAR,US,No,No,CHIP,36,1,1,No
SP  WWW.CATRICECOSMET,US,No,No,MANUAL,25,0,0,No
DOORDASHWALGREENS,US,No,No,CARD_ON_FILE,10,0,0,No
AMAZON.COMSGC AMZN,US,No,No,MANUAL,16,0,0,No
ABT.COM,US,No,No,MANUAL,18,1,0,No
ACE HARDWARE CORPORATION,US,No,No,MANUAL,9,0,0,No
VCIVITACOST.COM,US,No,No,MANUAL,2,0,0,No
AMAZON.COMELCA AMZN,US,No,No,MANUAL,1,0,0,No
AMAZON.COMNN AMZN,US,No,No,MANUAL,1,0,0,No
PITNEY BOWES,US,No,No,MANUAL,10,0,0,No
ZOOM.US --,US,No,No,CARD_ON_FILE,28,0,0,No
THE HOME DEPOT,US,No,No,CHIP,16,1,1,No
SHOPLET.COM,US,No,No,MANUAL,26,0,0,No
WALGREENS,US,No,No,CHIP,4,1,1,No
JARUSNADINE,US,No,No,MANUAL,16,0,0,No
WPYMetagenics,US,No,No,MANUAL,12,0,0,No
-ELEVEN,US,No,No,CHIP,12,1,1,No
Dick'sSportingGoods.com,US,No,No,CARD_ON_FILE,27,0,0,No
MENARDS EVERGREEN PARK IL,US,No,No,UNKNOWN,35,0,0,No
LOGISTICS SUPPLY CORPORAT,US,Yes,No,,,,,No
MURAD LLC,US,No,No,MANUAL,26,0,0,No
NN,US,No,No,MANUAL,20,0,0,No
MICHAELS STORES,US,No,No,CHIP,30,1,1,No
SPIRIT AIRL,US,No,No,MANUAL,16,0,0,No
EBAY US,LU,No,No,CARD_ON_FILE,12,0,0,No
SAMSCLUB.COM,US,No,No,MANUAL,32,0,0,No
AMAZON.COMEKQS AMZN,US,No,No,MANUAL,9,0,0,No
WAL-MART,US,No,No,MANUAL,4400,0,0,No
THE WHEEL GROUP WHEEL,US,No,No,MANUAL,3,0,0,No
BARNES&NOBLE.COM,US,No,No,CARD_ON_FILE,11,0,0,No
B&H PHOTO --,US,No,No,MANUAL,8,0,0,No
Amazon.comPPIZK,US,No,No,MANUAL,1,0,0,No
LAFAYETTE PARTY AND LIQU,US,No,No,CHIP,3,1,1,No
SQ HELEN OF TROY,US,No,No,CHIP,28,1,1,No
eBay O--,US,No,No,CARD_ON_FILE,4,0,0,No
USPS,US,No,No,UNKNOWN,5,0,0,No
AMAZON.COMMKUMCK AMZN,US,No,No,MANUAL,14,0,0,No
WAL-MART,US,No,No,MANUAL,36,0,0,No
TEXACO,US,No,No,CHIP,31,1,1,No
AMZN MKTP USMFDQH AM,US,No,No,MANUAL,3,0,0,No
WORLDPAC,US,No,No,UNKNOWN,2,0,0,No
USZOOM-IPOSTAL,US,No,No,MANUAL,2,0,0,No
USPS,US,No,No,CHIP,19,1,1,No
MARYSVILLE MARINE DISTRI,US,No,No,MANUAL,3,0,0,No
LIQUIDATION,US,No,No,MANUAL,18,0,0,No
SHOPIFY,US,No,No,CARD_ON_FILE,3,0,0,No
THRESHOLD ENTERPRISES,US,No,No,MANUAL,4,0,0,No
LIFETOUCHNS,US,No,No,CARD_ON_FILE,9,0,0,No
AMZN Mktp USMFDA,US,No,No,MANUAL,18,0,0,No
CORKY BELLS SEAFOOD,US,No,No,MAGSTRIPE,30,1,1,No
CONOCO - SEI,US,No,No,MAGSTRIPE,20,0,0,No
INKCARTRIDGES,US,No,No,MANUAL,17,0,0,No
WALGREENS,US,No,No,MANUAL,12,0,0,No
BRANDSMART USA,US,No,No,MANUAL,22,0,0,No
THE HOME DEPOT,US,No,No,MANUAL,6,0,0,No
aliexpress,US,No,No,MANUAL,2,0,0,No
MARATHON PETRO,US,No,No,MAGSTRIPE,29,0,0,No
T&C - GATEWAY COM,US,No,No,CHIP,3,1,1,No
SPIRIT AIRL,US,No,No,MANUAL,28,0,0,No
LAMPLIGHT,US,No,No,MANUAL,6,0,0,No
eBay O--,US,No,No,CARD_ON_FILE,21,0,0,No
AMZN Mktp USPZP,US,No,No,MANUAL,15,0,0,No
LIFEVANTAGE,US,No,No,MANUAL,13,0,0,No
AMZN MKTP USRXHED AM,US,No,No,MANUAL,5,0,0,No
HAIRCARE,US,No,No,MANUAL,6,0,0,No
URI PREP AND SHIP,US,No,No,UNKNOWN,31,0,0,No
SADDLEBACK CAMPUS POLICE,US,No,No,MAGSTRIPE,27,1,1,No
-ELEVEN,US,No,No,CHIP,7,1,1,No
COSTCO WHSE,US,No,No,CHIP,4,1,1,No
Target,US,No,No,MANUAL,19,0,0,No
ABEBOOKS.CO FRJLH,US,Yes,No,,,,,No
MCDONALD'S M,US,No,No,CHIP,8,1,1,No
"GUNDRY MD, LLC",US,No,No,MANUAL,10,0,0,No
JERSEY MIKES,US,No,No,MAGSTRIPE,27,1,1,No
ASELLERTOOL,US,Yes,No,,,,,No
SOUTH SAN JOSE GROC,US,No,No,CHIP,24,1,1,No
VITVITAMIN SHOPPE.COM,US,No,No,CARD_ON_FILE,17,0,0,No
RWGC,US,No,No,MANUAL,17,0,0,No
AMZN MKTP USCGD AM,US,No,No,MANUAL,1,0,0,No
APPLE.COM/BILL,US,No,No,CARD_ON_FILE,7,0,0,No
NHL.TV,US,No,No,MANUAL,17,0,0,No
GIANT,US,No,No,CHIP,3,1,1,No
NETPARCEL,CA,No,No,CARD_ON_FILE,12,0,0,No
RED OAK UNIFORMS & MEDICA,US,No,No,CHIP,2,1,1,No
FACEBK LHDNXUVK,US,No,No,UNKNOWN,6,0,0,No
AMZN MKTP USCAX AM,US,No,No,MANUAL,7,0,0,No
LOGISTICS SUPPLY CORPORAT,US,No,No,UNKNOWN,1,0,0,No
HOBBY LOBBY ECOMM,US,No,No,UNKNOWN,15,0,0,No
BRANDSMART USA,US,No,No,MANUAL,18,0,0,No
T J MAXX,US,No,No,CHIP,12,1,1,No
WINN-DIXIE,US,No,No,CHIP,35,1,1,No
THE SALVATION ARMY,US,No,No,CHIP,9,1,1,No
SPEEDWAY,US,No,No,CHIP,27,1,1,No
SEZZLE ORDER P,US,No,No,CARD_ON_FILE,3,0,0,No
EMERSON ECOLOGICS INC,US,No,No,UNKNOWN,6,0,0,No
WWW.KOHLS.COM,US,No,No,MANUAL,15,0,0,No
AMZN Mktp USCSYVKP,US,No,No,MANUAL,7,0,0,No
RACETRAC,US,No,No,CHIP,7,1,1,No
DOMYOWN.COM,US,No,No,CARD_ON_FILE,5,0,0,No
TACTICALARB,US,Yes,No,,,,,No
FXCFRAGRANCEX.COM,US,No,No,MANUAL,8,0,0,No
SAYBYEBUGS,US,No,No,MANUAL,32,0,0,No
JKRICKOVICH,US,No,No,MANUAL,16,0,0,No
SAFETYTECHN,US,No,No,MANUAL,1,0,0,No
OFFICEMAX/OFFICEDEPT,US,No,No,UNKNOWN,8,0,0,No
NAME-CHEAP.COM,US,No,No,CARD_ON_FILE,2,0,0,No
NETPARCEL,CA,No,No,CARD_ON_FILE,5,0,0,No
